ID|Número Documento|Fecha Emisión Cliente
2|OV-0000002|05/07/2022 6:30|
3|OV-0000003|05/07/2022 6:30|
4|OV-0000004|05/07/2022 6:30|
5|OV-0000005|05/07/2022 6:30|
6|OV-0000006|05/07/2022 6:30|
7|OV-0000007|05/07/2022 6:30|
8|OV-0000008|05/07/2022 6:30|
9|OV-0000009|05/07/2022 6:30|
10|OV-0000010|05/07/2022 6:30|
11|OV-0000011|05/07/2022 6:30|
12|OV-0000012|05/07/2022 6:30|
13|OV-0000013|05/07/2022 6:30|
14|OV-0000014|07/07/2022 12:17|
15|OV-0000015|08/07/2022 7:02|
16|OV-0000016|08/07/2022 7:03|
17|OV-0000017|08/07/2022 7:03|
18|OV-0000018|08/07/2022 7:03|
19|OV-0000019|07/07/2022 12:17|
20|OV-0000020|05/07/2022 6:30|
21|OV-0000021|08/07/2022 7:03|
22|OV-0000022|08/07/2022 7:03|
23|OV-0000023|08/07/2022 7:03|
24|OV-0000024|07/07/2022 12:17|
26|OV-0000025|05/07/2022 6:30|
28|OV-0000026|05/07/2022 6:30|
29|OV-0000027|05/07/2022 6:30|
38|OV-0000028|05/07/2022 6:30|
40|OV-0000029|05/07/2022 6:30|
41|OV-0000030|05/07/2022 6:30|
42|OV-0000031|05/07/2022 6:30|
43|OV-0000032|05/07/2022 6:30|
44|OV-0000033|05/07/2022 6:30|
47|OV-0000034|05/07/2022 6:30|
54|OV-0000035|05/07/2022 6:30|
160|OV-0000036|05/07/2022 6:30|
503|OV-0000037|19/08/2022 15:36|
512|OV-0000038|05/07/2022 6:30|
522|OV-0000039|05/07/2022 6:30|
536|OV-0000040|05/07/2022 6:30|
544|OV-0000041|21/08/2022 23:53|
547|OV-0000042|05/07/2022 6:30|
554|OV-0000043|05/07/2022 6:30|
1467|OV-0000044|05/07/2022 6:30|
1579|OV-0000045|05/07/2022 6:30|
1985|OV-0000046|05/07/2022 6:30|
2291|OV-0000047|13/09/2022 22:17|
