External ID;Subsidiary;Date;Account;Debit;Credit;Memo;Class;Department;Location
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
nomina_19_01_2023_15_45_40;2;19/01/2023;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
